,Abundance,slides,Background,Celltype
0,0.004197770151093661,C01-A10-007-1,Control,T & NK cells
1,9.176821305953875e-05,C01-A10-007-2,Control,T & NK cells
2,0.006288779657143147,C01-A10-007-3,Control,T & NK cells
3,0.008412605917770731,C01-A10-007-4,Control,T & NK cells
4,0.004730329949847155,C01-A10-007-5,Control,T & NK cells
5,0.005526606696972416,C01-A10-007-6,Control,T & NK cells
6,0.0046727446025988445,C01-A10-007-7,Control,T & NK cells
7,0.0016744120226180495,C01-A10-007-8,Control,T & NK cells
8,0.007059851148453187,C01-A10-007-9,Control,T & NK cells
9,0.005267592168521144,C01-A10-007-10,Control,T & NK cells
10,0.0027969502235860315,C01-A10-007-11,Control,T & NK cells
11,0.0038110133802022645,C01-A10-007-12,Control,T & NK cells
12,0.0015980955552386603,C2-A6-007-1,Control,T & NK cells
13,0.0007509341177265789,C2-A6-007-2,Control,T & NK cells
14,0.0039821887321406175,C2-A6-007-3,Control,T & NK cells
15,0.00018469000244648658,C2-A6-007-4,Control,T & NK cells
16,0.0009616548184565846,C2-A6-007-5,Control,T & NK cells
17,0.002503867609746036,C2-A6-007-6,Control,T & NK cells
18,0.0011106614232078691,C2-A6-007-7,Control,T & NK cells
19,0.002690822287186184,C2-A6-007-8,Control,T & NK cells
20,0.0013774145608421054,C2-A6-007-10,Control,T & NK cells
21,0.005971686635114726,C2-A6-007-11,Control,T & NK cells
22,0.0014423054003405566,C2-A6-007-12,Control,T & NK cells
23,5.8537490171259485e-06,C2-A6-007-13,Control,T & NK cells
24,0.009723140352101832,C3-A9-011-1,Control,T & NK cells
25,0.0032675139636586963,C3-A9-011-2,Control,T & NK cells
26,0.003948431206960904,C3-A9-011-3,Control,T & NK cells
27,0.0025799408910639194,C3-A9-011-4,Control,T & NK cells
28,0.0027936915148062498,C3-A9-011-5,Control,T & NK cells
29,0.007156893441751238,C3-A9-011-6,Control,T & NK cells
30,0.0010099377746455788,C3-A9-011-7,Control,T & NK cells
31,0.0004930978768963524,C3-A9-011-8,Control,T & NK cells
32,3.179062632299646e-05,C3-A9-011-9,Control,T & NK cells
33,0.0014203767522415255,C3-A9-011-10,Control,T & NK cells
34,0.0017355194021551525,C3-A9-011-11,Control,T & NK cells
35,0.00034705704193958387,C3-A9-011-12,Control,T & NK cells
36,0.00024069396673928617,C3-A9-011-13,Control,T & NK cells
37,0.0006407484414763637,C3-A9-011-14,Control,T & NK cells
38,0.004389438927494829,C3-A9-011-15,Control,T & NK cells
39,0.009138168775563229,KR_C19_00YQ-3,Control,T & NK cells
40,0.0054906551373795085,KR_C19_00YQ-4,Control,T & NK cells
41,0.010127289579946536,KR_C19_00YQ-6,Control,T & NK cells
42,0.00585556999343839,KR_C19_00YQ-7,Control,T & NK cells
43,0.0052216051381971315,KR_C19_00YQ-8,Control,T & NK cells
44,0.009196053691850455,KR_C19_00YQ-10,Control,T & NK cells
45,0.006272675655752744,KR_C19_013M-5,Control,T & NK cells
46,0.00238040157466345,KR_C19_013M-7,Control,T & NK cells
47,0.002861932750624843,KR_C19_013M-9,Control,T & NK cells
48,0.0016868710551891871,KR_C19_0101-4,Control,T & NK cells
49,0.0012754098792437632,KR_C19_0101-6,Control,T & NK cells
50,0.001987318372866922,KR_C19_0101-7,Control,T & NK cells
51,0.001404468443875373,KR_C19_0101-8,Control,T & NK cells
52,0.002425374319313587,KR_C19_0101-11,Control,T & NK cells
53,0.0010706094492532801,KR_C19_0101-14,Control,T & NK cells
0,0.03782664834716918,C01-A10-007-1,Control,B & Plasma cells
1,0.01928874057763627,C01-A10-007-2,Control,B & Plasma cells
2,0.013127160125094642,C01-A10-007-3,Control,B & Plasma cells
