,Background,Celltype,value,cell_state_dendrogram_index,Percentage_roi_thresMean
15,Control,EP.AT2,1.7728186373501744,8,0.7692307692307693
16,PRES,EP.AT2,-0.6059718511813051,8,0.14285714285714285
17,EDAD,EP.AT2,-0.5367254893277138,8,0.12962962962962962
18,MDAD,EP.AT2,-0.355751675559926,8,0.16666666666666666
19,ODAD,EP.AT2,-0.2743696212812293,8,0.21153846153846154
20,Control,EP.AT1,1.785766785267466,22,0.7692307692307693
21,PRES,EP.AT1,-0.5249733609637902,22,0.047619047619047616
22,EDAD,EP.AT1,-0.3645870746161154,22,0.21296296296296297
23,MDAD,EP.AT1,-0.4266169778024784,22,0.125
24,ODAD,EP.AT1,-0.46958937188508093,22,0.09615384615384616
55,Control,EP.Secretory,1.787931467521897,14,0.3076923076923077
56,PRES,EP.Secretory,-0.49482457898059284,14,0.0
57,EDAD,EP.Secretory,-0.42274683878857816,14,0.027777777777777776
58,MDAD,EP.Secretory,-0.45721982606824035,14,0.041666666666666664
59,ODAD,EP.Secretory,-0.4131402236844851,14,0.019230769230769232
