,Background,Celltype,value,cell_state_dendrogram_index,Percentage_roi_thresMean
0,PRES,EC.Arterial,-0.4282448834898025,28,0.3333333333333333
1,EDAD,EC.Arterial,1.2623600943855695,28,0.5648148148148148
2,MDAD,EC.Arterial,-1.078563168290637,28,0.25
3,ODAD,EC.Arterial,0.2444479573948698,28,0.5192307692307693
4,PRES,Mesothelial,0.697636307447374,29,0.5714285714285714
5,EDAD,Mesothelial,0.9682787977787272,29,0.5740740740740741
6,MDAD,Mesothelial,-1.1396358721867774,29,0.0833333333333333
7,ODAD,Mesothelial,-0.5262792330393237,29,0.3269230769230769
8,PRES,FB.Basal,0.0347032252967433,6,0.3809523809523809
9,EDAD,FB.Basal,1.2533200193294074,6,0.5092592592592593
10,MDAD,FB.Basal,-1.191041180908175,6,0.3333333333333333
11,ODAD,FB.Basal,-0.0969820637179757,6,0.5384615384615384
12,PRES,Monocyte,0.1540563199464967,19,0.4285714285714285
13,EDAD,Monocyte,1.3228504611360747,19,0.5555555555555556
14,MDAD,Monocyte,-0.9989399427400292,19,0.25
15,ODAD,Monocyte,-0.4779668383425416,19,0.4807692307692308
16,PRES,Proliferating.T.NK,-1.288738462151325,10,0.3333333333333333
17,EDAD,Proliferating.T.NK,0.2739279675745268,10,0.6018518518518519
18,MDAD,Proliferating.T.NK,1.1194495572859366,10,0.5416666666666666
19,ODAD,Proliferating.T.NK,-0.1046390627091389,10,0.4230769230769231
20,PRES,Macro.Alv.Meta.CCL,-1.4569191614723378,23,0.0476190476190476
21,EDAD,Macro.Alv.Meta.CCL,0.8208980816676233,23,0.5092592592592593
22,MDAD,Macro.Alv.Meta.CCL,0.2929956496249865,23,0.5
23,ODAD,Macro.Alv.Meta.CCL,0.3430254301797276,23,0.5769230769230769
24,PRES,FB.Alveolar,-1.243804394879606,27,0.3333333333333333
25,EDAD,FB.Alveolar,1.1988719903055838,27,0.5277777777777778
26,MDAD,FB.Alveolar,-0.0631115917033202,27,0.4583333333333333
27,ODAD,FB.Alveolar,0.1080439962773421,27,0.4615384615384615
28,PRES,Macro.HSP,-1.1822458822322437,5,0.3333333333333333
29,EDAD,Macro.HSP,1.200290820972323,5,0.6481481481481481
30,MDAD,Macro.HSP,0.2750847367401055,5,0.4583333333333333
31,ODAD,Macro.HSP,-0.2931296754801836,5,0.3846153846153846
32,PRES,EC.Aerocyte,-0.9804956194393288,22,0.4285714285714285
33,EDAD,EC.Aerocyte,1.0481673815351205,22,0.4814814814814814
34,MDAD,EC.Aerocyte,-0.7185561695064476,22,0.4583333333333333
35,ODAD,EC.Aerocyte,0.6508844074106535,22,0.6153846153846154
36,PRES,Vascular.SMC,-0.9359233037691164,8,0.238095238095238
37,EDAD,Vascular.SMC,0.7068602480680998,8,0.5555555555555556
38,MDAD,Vascular.SMC,-0.7793815600443565,8,0.375
39,ODAD,Vascular.SMC,1.0084446157453724,8,0.5576923076923077
40,PRES,NK,-0.8641533381492934,30,0.3333333333333333
41,EDAD,NK,0.0973432300684183,30,0.4074074074074074
42,MDAD,NK,-0.6039561850199624,30,0.375
43,ODAD,NK,1.370766293100838,30,0.6153846153846154
44,PRES,B.Cell,-0.9924191693247983,4,0.3333333333333333
45,EDAD,B.Cell,0.0240509582058578,4,0.3981481481481481
46,MDAD,B.Cell,-0.394922613676941,4,0.375
47,ODAD,B.Cell,1.3632908247958802,4,0.6346153846153846
48,PRES,EP.Secretory,-0.9631782965087524,12,0.238095238095238
49,EDAD,EP.Secretory,0.039169628090793,12,0.4166666666666667
50,MDAD,EP.Secretory,-0.444598472899503,12,0.4583333333333333
51,ODAD,EP.Secretory,1.3686071413174623,12,0.6538461538461539
52,PRES,EP.Ciliated,-0.4202664899481724,0,0.3809523809523809
53,EDAD,EP.Ciliated,0.6518866175454266,0,0.4444444444444444
54,MDAD,EP.Ciliated,-1.2047535824298146,0,0.375
55,ODAD,EP.Ciliated,0.9731334548325596,0,0.5384615384615384
56,PRES,Proliferating.MYE,-0.4008569206561399,16,0.3809523809523809
57,EDAD,Proliferating.MYE,0.6356704508719326,16,0.4907407407407407
58,MDAD,Proliferating.MYE,-1.2146004832051505,16,0.3333333333333333
59,ODAD,Proliferating.MYE,0.9797869529893556,16,0.5
60,PRES,EC.Lymphatic,-0.4654051667779583,14,0.3809523809523809
61,EDAD,EC.Lymphatic,0.2430326789681499,14,0.4259259259259259
62,MDAD,EC.Lymphatic,-1.0506244949898995,14,0.375
63,ODAD,EC.Lymphatic,1.2729969827997094,14,0.5769230769230769
64,PRES,EC.Venous.Pul,-0.5108345258976977,20,0.4761904761904761
65,EDAD,EC.Venous.Pul,0.3880862011124589,20,0.5277777777777778
66,MDAD,EC.Venous.Pul,-1.074606385864739,20,0.5416666666666666
67,ODAD,EC.Venous.Pul,1.1973547106499802,20,0.5769230769230769
68,PRES,Macro.IV,-0.8584446793209878,9,0.3809523809523809
69,EDAD,Macro.IV,0.3479752956424478,9,0.4537037037037037
70,MDAD,Macro.IV,-0.7476851529966627,9,0.3333333333333333
71,ODAD,Macro.IV,1.2581545366752027,9,0.5576923076923077
72,PRES,Mast,-0.7272324352701047,17,0.3809523809523809
73,EDAD,Mast,0.2363444024760081,17,0.3888888888888889
74,MDAD,Mast,-0.8257209517892591,17,0.4166666666666667
75,ODAD,Mast,1.3166089845833546,17,0.6153846153846154
76,PRES,Pericytes,-1.3543458014744971,1,0.0476190476190476
77,EDAD,Pericytes,-0.1482944496192123,1,0.4351851851851852
78,MDAD,Pericytes,0.665319125154263,1,0.7083333333333334
79,ODAD,Pericytes,0.8373211259394466,1,0.5961538461538461
80,PRES,EC.Capillary,-1.3130590776476612,18,0.2857142857142857
81,EDAD,EC.Capillary,0.3796144557862572,18,0.4259259259259259
82,MDAD,EC.Capillary,-0.1232392524461785,18,0.5416666666666666
83,ODAD,EC.Capillary,1.056683874307583,18,0.6730769230769231
84,PRES,EP.AT1,-1.444256003558222,31,0.0952380952380952
85,EDAD,EP.AT1,0.3562299310919625,31,0.4907407407407407
86,MDAD,EP.AT1,0.23150346422207,31,0.5
87,ODAD,EP.AT1,0.8565226082441896,31,0.6346153846153846
88,PRES,Macro.CHIT1.like,-0.944563117613024,26,0.4761904761904761
89,EDAD,Macro.CHIT1.like,-0.7440929942434491,26,0.4351851851851852
90,MDAD,Macro.CHIT1.like,1.09765235471131,26,0.5833333333333334
91,ODAD,Macro.CHIT1.like,0.5910037571451637,26,0.5961538461538461
92,PRES,Macro.Alv,-0.7247628436977643,21,0.3809523809523809
93,EDAD,Macro.Alv,-0.9761764778831108,21,0.5092592592592593
94,MDAD,Macro.Alv,0.6565611558546678,21,0.6666666666666666
95,ODAD,Macro.Alv,1.0443781657262077,21,0.7115384615384616
96,PRES,T.CD4+,-1.0197845977815003,13,0.238095238095238
