,Cellstate,factor,value,cell_state_dendrogram,norm_abundance,cell_state_manual_sort
0,B.Cell,0,0.3628258173495119,6,-0.394922613676941,6
1,B.Cell,1,0.0,6,0.0,6
2,B.Cell,2,0.0,6,0.0,6
3,B.Cell,3,0.0,6,0.0,6
4,B.Cell,4,0.0,6,0.0,6
5,B.Cell,5,0.0,6,0.0,6
6,B.Cell,6,0.0,6,0.0,6
7,B.Plasma.IgA,0,0.0,18,0.0,27
8,B.Plasma.IgA,1,0.0,18,0.0,27
9,B.Plasma.IgA,2,0.0,18,0.0,27
10,B.Plasma.IgA,3,0.5158664719345966,18,0.4889297186676272,27
11,B.Plasma.IgA,4,0.0,18,0.0,27
12,B.Plasma.IgA,5,0.0,18,0.0,27
13,B.Plasma.IgA,6,0.3787869730962831,18,0.4889297186676272,27
14,B.Plasma.IgG,0,0.0,31,0.0,26
15,B.Plasma.IgG,1,0.0,31,0.0,26
16,B.Plasma.IgG,2,0.0,31,0.0,26
17,B.Plasma.IgG,3,0.3984939724679635,31,0.3182307203156778,26
18,B.Plasma.IgG,4,0.0,31,0.0,26
19,B.Plasma.IgG,5,0.0,31,0.0,26
20,B.Plasma.IgG,6,0.5887573597783069,31,0.3182307203156778,26
21,EC.Aerocyte,0,0.0,22,0.0,14
22,EC.Aerocyte,1,0.8264981544873741,22,-0.7185561695064476,14
23,EC.Aerocyte,2,0.0,22,0.0,14
24,EC.Aerocyte,3,0.0,22,0.0,14
25,EC.Aerocyte,4,0.0,22,0.0,14
26,EC.Aerocyte,5,0.0,22,0.0,14
27,EC.Aerocyte,6,0.0,22,0.0,14
28,EC.Arterial,0,0.0,0,0.0,16
29,EC.Arterial,1,0.7160813722000442,0,-1.078563168290637,16
30,EC.Arterial,2,0.0,0,0.0,16
31,EC.Arterial,3,0.0,0,0.0,16
32,EC.Arterial,4,0.0,0,0.0,16
33,EC.Arterial,5,0.0,0,0.0,16
34,EC.Arterial,6,0.0,0,0.0,16
35,EC.Capillary,0,0.0,11,0.0,17
36,EC.Capillary,1,0.6154192061616182,11,-0.1232392524461785,17
37,EC.Capillary,2,0.0,11,0.0,17
38,EC.Capillary,3,0.0,11,0.0,17
39,EC.Capillary,4,0.0,11,0.0,17
40,EC.Capillary,5,0.0,11,0.0,17
41,EC.Capillary,6,0.0,11,0.0,17
42,EC.Lymphatic,0,0.4186557112745102,26,-1.0506244949898995,10
43,EC.Lymphatic,1,0.0,26,0.0,10
44,EC.Lymphatic,2,0.0,26,0.0,10
45,EC.Lymphatic,3,0.0,26,0.0,10
