,Cellstate,factor,value,cell_state_dendrogram,norm_abundance,cell_state_manual_sort
0,B.Cell,0,0.3410051135461822,20,1.3632908247958802,5
1,B.Cell,1,0.0,20,0.0,5
2,B.Cell,2,0.0,20,0.0,5
3,B.Cell,3,0.5680159727883427,20,1.3632908247958802,5
4,B.Cell,4,0.0,20,0.0,5
5,B.Cell,5,0.0,20,0.0,5
6,B.Plasma.IgA,0,0.0,18,0.0,26
7,B.Plasma.IgA,1,0.0,18,0.0,26
8,B.Plasma.IgA,2,0.0,18,0.0,26
9,B.Plasma.IgA,3,0.0,18,0.0,26
10,B.Plasma.IgA,4,0.4332299122867475,18,1.0993890467623932,26
11,B.Plasma.IgA,5,0.0,18,0.0,26
12,B.Plasma.IgG,0,0.0,9,0.0,17
13,B.Plasma.IgG,1,0.0,9,0.0,17
14,B.Plasma.IgG,2,0.0,9,0.0,17
15,B.Plasma.IgG,3,0.0,9,0.0,17
16,B.Plasma.IgG,4,0.3618568765765612,9,1.2680808891404212,17
17,B.Plasma.IgG,5,0.3075094449359596,9,1.2680808891404212,17
18,EC.Aerocyte,0,0.0,28,0.0,11
19,EC.Aerocyte,1,0.0,28,0.0,11
20,EC.Aerocyte,2,0.4642301545157796,28,0.6508844074106535,11
21,EC.Aerocyte,3,0.0,28,0.0,11
22,EC.Aerocyte,4,0.0,28,0.0,11
23,EC.Aerocyte,5,0.3359055463552896,28,0.6508844074106535,11
24,EC.Arterial,0,0.0,24,0.0,12
25,EC.Arterial,1,0.0,24,0.0,12
26,EC.Arterial,2,0.0,24,0.0,12
27,EC.Arterial,3,0.0,24,0.0,12
28,EC.Arterial,4,0.0,24,0.0,12
29,EC.Arterial,5,0.6076489486824705,24,0.2444479573948698,12
30,EC.Capillary,0,0.0,6,0.0,13
31,EC.Capillary,1,0.0,6,0.0,13
32,EC.Capillary,2,0.0,6,0.0,13
33,EC.Capillary,3,0.0,6,0.0,13
34,EC.Capillary,4,0.0,6,0.0,13
35,EC.Capillary,5,0.6392903674830122,6,1.056683874307583,13
36,EC.Lymphatic,0,0.520369120884587,26,1.2729969827997094,2
37,EC.Lymphatic,1,0.0,26,0.0,2
38,EC.Lymphatic,2,0.0,26,0.0,2
39,EC.Lymphatic,3,0.4330343162108222,26,1.2729969827997094,2
40,EC.Lymphatic,4,0.0,26,0.0,2
41,EC.Lymphatic,5,0.0,26,0.0,2
42,EC.Venous.Pul,0,0.0,0,0.0,28
43,EC.Venous.Pul,1,0.253925319435782,0,1.1973547106499802,28
44,EC.Venous.Pul,2,0.2871480285586676,0,1.1973547106499802,28
45,EC.Venous.Pul,3,0.0,0,0.0,28
46,EC.Venous.Pul,4,0.3213511558282609,0,1.1973547106499802,28
47,EC.Venous.Pul,5,0.0,0,0.0,28
48,EC.Venous.Sys,0,0.0,11,0.0,21
49,EC.Venous.Sys,1,0.0,11,0.0,21
50,EC.Venous.Sys,2,0.0,11,0.0,21
51,EC.Venous.Sys,3,0.0,11,0.0,21
52,EC.Venous.Sys,4,0.618233482536845,11,1.39360756456225,21
53,EC.Venous.Sys,5,0.0,11,0.0,21
54,EP.AT1,0,0.0,25,0.0,0
55,EP.AT1,1,0.0,25,0.0,0
56,EP.AT1,2,0.0,25,0.0,0
57,EP.AT1,3,0.4763987735647109,25,0.8565226082441896,0
58,EP.AT1,4,0.0,25,0.0,0
59,EP.AT1,5,0.0,25,0.0,0
60,EP.AT2,0,0.0,14,0.0,30
61,EP.AT2,1,0.6780297924214562,14,1.1788947464647632,30
62,EP.AT2,2,0.0,14,0.0,30
63,EP.AT2,3,0.0,14,0.0,30
64,EP.AT2,4,0.0,14,0.0,30
65,EP.AT2,5,0.0,14,0.0,30
66,EP.Ciliated,0,0.4652246726824082,2,0.9731334548325596,4
67,EP.Ciliated,1,0.0,2,0.0,4
68,EP.Ciliated,2,0.0,2,0.0,4
69,EP.Ciliated,3,0.5273829159055017,2,0.9731334548325596,4
70,EP.Ciliated,4,0.0,2,0.0,4
71,EP.Ciliated,5,0.0,2,0.0,4
72,EP.Secretory,0,0.0,15,0.0,20
73,EP.Secretory,1,0.0,15,0.0,20
74,EP.Secretory,2,0.0,15,0.0,20
75,EP.Secretory,3,0.0,15,0.0,20
76,EP.Secretory,4,0.8570035770045754,15,1.3686071413174623,20
77,EP.Secretory,5,0.0,15,0.0,20
78,FB.Adventitial,0,0.0,13,0.0,24
79,FB.Adventitial,1,0.0,13,0.0,24
80,FB.Adventitial,2,0.0,13,0.0,24
81,FB.Adventitial,3,0.0,13,0.0,24
82,FB.Adventitial,4,0.9019865077600016,13,1.1676359047530898,24
83,FB.Adventitial,5,0.0,13,0.0,24
84,FB.Alveolar,0,0.0,8,0.0,19
85,FB.Alveolar,1,0.0,8,0.0,19
86,FB.Alveolar,2,0.0,8,0.0,19
