,Cellstate,factor,value,cell_state_dendrogram,norm_abundance,cell_state_manual_sort
0,B.Cell,0,0.4830877834461883,28,-0.9924191693247983,0
1,B.Cell,1,0.0,28,0.0,0
2,B.Cell,2,0.0,28,0.0,0
3,B.Cell,3,0.0,28,0.0,0
4,B.Cell,4,0.2586322247659709,28,-0.9924191693247983,0
5,B.Cell,5,0.0,28,0.0,0
6,B.Plasma.IgA,0,0.0,19,0.0,15
7,B.Plasma.IgA,1,0.0,19,0.0,15
8,B.Plasma.IgA,2,0.5135908011442898,19,-1.1755471143962344,15
9,B.Plasma.IgA,3,0.4864091988557102,19,-1.1755471143962344,15
10,B.Plasma.IgA,4,0.0,19,0.0,15
11,B.Plasma.IgA,5,0.0,19,0.0,15
12,B.Plasma.IgG,0,0.0,20,0.0,12
13,B.Plasma.IgG,1,0.0,20,0.0,12
14,B.Plasma.IgG,2,0.5887417319104419,20,-0.6656650087924153,12
15,B.Plasma.IgG,3,0.3655724155591803,20,-0.6656650087924153,12
16,B.Plasma.IgG,4,0.0,20,0.0,12
17,B.Plasma.IgG,5,0.0,20,0.0,12
18,EC.Aerocyte,0,0.0,23,0.0,10
19,EC.Aerocyte,1,0.2699633697938398,23,-0.9804956194393288,10
20,EC.Aerocyte,2,0.4735863345515623,23,-0.9804956194393288,10
21,EC.Aerocyte,3,0.0,23,0.0,10
22,EC.Aerocyte,4,0.0,23,0.0,10
23,EC.Aerocyte,5,0.0,23,0.0,10
24,EC.Arterial,0,0.0,8,0.0,28
25,EC.Arterial,1,0.4728029724663866,8,-0.4282448834898025,28
26,EC.Arterial,2,0.0,8,0.0,28
27,EC.Arterial,3,0.0,8,0.0,28
28,EC.Arterial,4,0.0,8,0.0,28
29,EC.Arterial,5,0.3147837874091517,8,-0.4282448834898025,28
30,EC.Capillary,0,0.0,1,0.0,27
31,EC.Capillary,1,0.2712078383481614,1,-1.3130590776476612,27
32,EC.Capillary,2,0.0,1,0.0,27
33,EC.Capillary,3,0.0,1,0.0,27
34,EC.Capillary,4,0.0,1,0.0,27
35,EC.Capillary,5,0.6585447712565057,1,-1.3130590776476612,27
36,EC.Lymphatic,0,0.4912423498499486,7,-0.4654051667779583,5
37,EC.Lymphatic,1,0.0,7,0.0,5
38,EC.Lymphatic,2,0.0,7,0.0,5
39,EC.Lymphatic,3,0.0,7,0.0,5
40,EC.Lymphatic,4,0.0,7,0.0,5
41,EC.Lymphatic,5,0.2761999939925654,7,-0.4654051667779583,5
42,EC.Venous.Pul,0,0.0,31,0.0,14
43,EC.Venous.Pul,1,0.0,31,0.0,14
44,EC.Venous.Pul,2,0.4146756463001136,31,-0.5108345258976977,14
45,EC.Venous.Pul,3,0.3854972920675322,31,-0.5108345258976977,14
46,EC.Venous.Pul,4,0.0,31,0.0,14
47,EC.Venous.Pul,5,0.0,31,0.0,14
48,EC.Venous.Sys,0,0.0,2,0.0,16
49,EC.Venous.Sys,1,0.0,2,0.0,16
50,EC.Venous.Sys,2,0.4724858245392931,2,-0.7854744991587896,16
51,EC.Venous.Sys,3,0.4921026430342092,2,-0.7854744991587896,16
52,EC.Venous.Sys,4,0.0,2,0.0,16
53,EC.Venous.Sys,5,0.0,2,0.0,16
54,EP.AT1,0,0.0,13,0.0,29
55,EP.AT1,1,0.2721434096720472,13,-1.444256003558222,29
56,EP.AT1,2,0.0,13,0.0,29
57,EP.AT1,3,0.0,13,0.0,29
58,EP.AT1,4,0.0,13,0.0,29
59,EP.AT1,5,0.0,13,0.0,29
60,EP.AT2,0,0.0,3,0.0,9
61,EP.AT2,1,0.0,3,0.0,9
62,EP.AT2,2,0.9808594544463975,3,-1.0355627059130126,9
63,EP.AT2,3,0.0,3,0.0,9
64,EP.AT2,4,0.0,3,0.0,9
65,EP.AT2,5,0.0,3,0.0,9
66,EP.Ciliated,0,0.4906062580957679,10,-0.4202664899481724,1
67,EP.Ciliated,1,0.0,10,0.0,1
68,EP.Ciliated,2,0.0,10,0.0,1
69,EP.Ciliated,3,0.0,10,0.0,1
70,EP.Ciliated,4,0.2862399301571744,10,-0.4202664899481724,1
71,EP.Ciliated,5,0.0,10,0.0,1
72,EP.Secretory,0,0.4193764612201288,16,-0.9631782965087524,3
73,EP.Secretory,1,0.0,16,0.0,3
74,EP.Secretory,2,0.0,16,0.0,3
75,EP.Secretory,3,0.0,16,0.0,3
76,EP.Secretory,4,0.3038134657915499,16,-0.9631782965087524,3
77,EP.Secretory,5,0.0,16,0.0,3
78,FB.Adventitial,0,0.0,17,0.0,11
79,FB.Adventitial,1,0.0,17,0.0,11
80,FB.Adventitial,2,0.6179941439926027,17,-1.0681261854613449,11
81,FB.Adventitial,3,0.3820058560073972,17,-1.0681261854613449,11
82,FB.Adventitial,4,0.0,17,0.0,11
83,FB.Adventitial,5,0.0,17,0.0,11
84,FB.Alveolar,0,0.0,0,0.0,21
85,FB.Alveolar,1,0.0,0,0.0,21
86,FB.Alveolar,2,0.0,0,0.0,21
87,FB.Alveolar,3,0.2919224934481239,0,-1.243804394879606,21
88,FB.Alveolar,4,0.0,0,0.0,21
89,FB.Alveolar,5,0.6198821358664388,0,-1.243804394879606,21
90,FB.Basal,0,0.0,11,0.0,24
91,FB.Basal,1,0.0,11,0.0,24
92,FB.Basal,2,0.0,11,0.0,24
93,FB.Basal,3,0.0,11,0.0,24
94,FB.Basal,4,0.0,11,0.0,24
95,FB.Basal,5,0.8171691701359075,11,0.0347032252967433,24
96,FB.Myofibroblast,0,0.0,24,0.0,8
97,FB.Myofibroblast,1,0.0,24,0.0,8
98,FB.Myofibroblast,2,0.8529923722621963,24,-0.9824965827537396,8
99,FB.Myofibroblast,3,0.0,24,0.0,8
100,FB.Myofibroblast,4,0.0,24,0.0,8
101,FB.Myofibroblast,5,0.0,24,0.0,8
102,Macro.Alv,0,0.0,12,0.0,7
103,Macro.Alv,1,0.0,12,0.0,7
104,Macro.Alv,2,1.0,12,-0.7247628436977643,7
105,Macro.Alv,3,0.0,12,0.0,7
106,Macro.Alv,4,0.0,12,0.0,7
107,Macro.Alv,5,0.0,12,0.0,7
108,Proliferating.MYE,0,0.4437239649494178,25,-0.4008569206561399,6
109,Proliferating.MYE,1,0.0,25,0.0,6
110,Proliferating.MYE,2,0.0,25,0.0,6
111,Proliferating.MYE,3,0.0,25,0.0,6
112,Proliferating.MYE,4,0.0,25,0.0,6
113,Proliferating.MYE,5,0.3552236074797461,25,-0.4008569206561399,6
114,Macro.Alv.Meta.CCL,0,0.0,27,0.0,19
115,Macro.Alv.Meta.CCL,1,0.0,27,0.0,19
116,Macro.Alv.Meta.CCL,2,0.0,27,0.0,19
117,Macro.Alv.Meta.CCL,3,0.5614270395362465,27,-1.4569191614723378,19
118,Macro.Alv.Meta.CCL,4,0.0,27,0.0,19
119,Macro.Alv.Meta.CCL,5,0.0,27,0.0,19
120,Macro.CHIT1.like,0,0.0,6,0.0,18
121,Macro.CHIT1.like,1,0.0,6,0.0,18
122,Macro.CHIT1.like,2,0.0,6,0.0,18
123,Macro.CHIT1.like,3,0.799980950932673,6,-0.944563117613024,18
124,Macro.CHIT1.like,4,0.0,6,0.0,18
