,cell_type,gene,avg_logFC,p_val,p_val_adj,de_family,de_method,de_type
1,cell,A1CF,1.256748781139,0.00830882273135428,0.0419875810309456,pseudobulk,edgeR,QLF
2,cell,A2M,-0.525493259972562,0.0198861437624108,0.0761791648093008,pseudobulk,edgeR,QLF
3,cell,A2ML1,0.948757808023682,0.082913268977625,0.196505501012791,pseudobulk,edgeR,QLF
4,cell,A3GALT2,1.53092382026856,0.0117877044945786,0.053100335617196,pseudobulk,edgeR,QLF
5,cell,A4GALT,-0.582333737590725,0.227000352740944,0.384135266058857,pseudobulk,edgeR,QLF
6,cell,A4GNT,0.0776428718873104,0.840369965087139,0.908449243464912,pseudobulk,edgeR,QLF
7,cell,AAAS,0.056617552644556,0.849471257321955,0.914123663182962,pseudobulk,edgeR,QLF
8,cell,AACS,0.831697237332573,0.0100672116992982,0.0475439454731904,pseudobulk,edgeR,QLF
9,cell,AADAC,0.866597308160014,0.0347481508177641,0.110695560897171,pseudobulk,edgeR,QLF
10,cell,AADACL2,0.95678677610104,0.0251823967011203,0.0892997259715325,pseudobulk,edgeR,QLF
11,cell,AADACL3,0.206914122661145,0.362892843723266,0.525072262592768,pseudobulk,edgeR,QLF
12,cell,AADACL4,0.622612443608379,0.0621505614251283,0.162357461022618,pseudobulk,edgeR,QLF
13,cell,AADAT,0.938417316664631,0.0612071168103185,0.160678427231449,pseudobulk,edgeR,QLF
14,cell,AAGAB,0.302366814626301,0.571300715426414,0.709440228669482,pseudobulk,edgeR,QLF
15,cell,AAK1,0.415451125542432,0.26006196502687,0.419899218462707,pseudobulk,edgeR,QLF
16,cell,AAMDC,0.792803422311925,0.152326522221211,0.294363271080608,pseudobulk,edgeR,QLF
17,cell,AAMP,0.520513721440565,0.316374027392675,0.480264373641099,pseudobulk,edgeR,QLF
18,cell,AANAT,0.340632299268644,0.54087210778548,0.683538624189632,pseudobulk,edgeR,QLF
19,cell,AAR2,0.187248057001527,0.599404200602939,0.731728984203548,pseudobulk,edgeR,QLF
20,cell,AARD,1.00542556920918,0.021467546565933,0.0803880101481195,pseudobulk,edgeR,QLF
21,cell,AARS1,0.927534049923903,0.0868479603150322,0.20268870818268,pseudobulk,edgeR,QLF
22,cell,AARS2,-0.230086549855233,0.711722611987045,0.817620414039319,pseudobulk,edgeR,QLF
23,cell,AARSD1,0.584096743674895,0.151095503113358,0.292681828234537,pseudobulk,edgeR,QLF
24,cell,AASDH,0.542448480299809,0.483647325346787,0.637165751415467,pseudobulk,edgeR,QLF
25,cell,AASDHPPT,0.458353980343534,0.201680196391094,0.355316805807754,pseudobulk,edgeR,QLF
26,cell,AASS,-0.390338040648376,0.427427863460838,0.586981630781295,pseudobulk,edgeR,QLF
27,cell,AATF,-0.0907196113870988,0.881966311910276,0.934683843735822,pseudobulk,edgeR,QLF
28,cell,AATK,1.31803626849136,0.0013415767121054,0.0113998893772987,pseudobulk,edgeR,QLF
29,cell,ABAT,0.180614053564724,0.659782014662805,0.777927738312267,pseudobulk,edgeR,QLF
30,cell,ABCA1,-1.4102717236642,8.03079004420387e-05,0.00133860854248875,pseudobulk,edgeR,QLF
31,cell,ABCA10,0.942927881950325,0.248359725985824,0.407611172137081,pseudobulk,edgeR,QLF
32,cell,ABCA12,1.10555568085443,0.0237205226861711,0.0862046674390348,pseudobulk,edgeR,QLF
33,cell,ABCA13,1.75303214378524,0.000555912083473642,0.00586474670868233,pseudobulk,edgeR,QLF
34,cell,ABCA2,0.370474169117322,0.360071841182272,0.523832772929705,pseudobulk,edgeR,QLF
35,cell,ABCA3,0.458106625065487,0.320157671917764,0.484352412735026,pseudobulk,edgeR,QLF
36,cell,ABCA4,1.13639226183743,0.0335011753527079,0.108145365641867,pseudobulk,edgeR,QLF
37,cell,ABCA5,0.685316185637557,0.0590700121913328,0.156702299444281,pseudobulk,edgeR,QLF
38,cell,ABCA6,-1.32065891300384,0.00635902403814131,0.0346605833896586,pseudobulk,edgeR,QLF
39,cell,ABCA7,2.05496004843647,4.49029780901628e-05,0.000874976501096559,pseudobulk,edgeR,QLF
40,cell,ABCA8,-0.155151914926629,0.69232656628681,0.803197709254779,pseudobulk,edgeR,QLF
