,Cellstate,factor,value,cell_state_dendrogram
0,EP.AT1,0,0.0,25
1,EP.AT1,1,0.0,25
2,EP.AT1,2,0.0,25
3,EP.AT1,3,0.0,25
4,EP.AT1,4,0.0,25
5,EP.AT1,5,0.43136349633731463,25
6,EP.AT1,6,0.0,25
7,EP.AT1,7,0.0,25
8,EP.AT1,8,0.0,25
9,EP.AT2.1,0,0.0,36
10,EP.AT2.1,1,0.5678062142549332,36
11,EP.AT2.1,2,0.0,36
12,EP.AT2.1,3,0.0,36
13,EP.AT2.1,4,0.0,36
14,EP.AT2.1,5,0.0,36
15,EP.AT2.1,6,0.0,36
16,EP.AT2.1,7,0.0,36
17,EP.AT2.1,8,0.0,36
18,EP.AT2.2,0,0.0,6
19,EP.AT2.2,1,0.0,6
20,EP.AT2.2,2,0.3587290698202746,6
21,EP.AT2.2,3,0.0,6
22,EP.AT2.2,4,0.0,6
23,EP.AT2.2,5,0.0,6
24,EP.AT2.2,6,0.4909261175885578,6
25,EP.AT2.2,7,0.0,6
26,EP.AT2.2,8,0.0,6
27,EP.Secretory.3,0,0.0,8
28,EP.Secretory.3,1,0.0,8
29,EP.Secretory.3,2,0.0,8
30,EP.Secretory.3,3,0.0,8
31,EP.Secretory.3,4,0.3807218444454475,8
32,EP.Secretory.3,5,0.0,8
33,EP.Secretory.3,6,0.0,8
34,EP.Secretory.3,7,0.0,8
35,EP.Secretory.3,8,0.0,8
36,EP.Secretory,0,0.48297317994138916,27
37,EP.Secretory,1,0.0,27
38,EP.Secretory,2,0.0,27
39,EP.Secretory,3,0.0,27
40,EP.Secretory,4,0.0,27
41,EP.Secretory,5,0.0,27
42,EP.Secretory,6,0.0,27
43,EP.Secretory,7,0.0,27
44,EP.Secretory,8,0.0,27
45,EC.Aerocyte,0,0.0,46
46,EC.Aerocyte,1,0.0,46
47,EC.Aerocyte,2,0.0,46
48,EC.Aerocyte,3,0.0,46
49,EC.Aerocyte,4,0.0,46
50,EC.Aerocyte,5,0.0,46
51,EC.Aerocyte,6,0.0,46
52,EC.Aerocyte,7,0.5244320474218226,46
53,EC.Aerocyte,8,0.0,46
54,SMC,0,0.0,12
55,SMC,1,0.0,12
56,SMC,2,0.0,12
57,SMC,3,0.0,12
58,SMC,4,0.0,12
59,SMC,5,0.0,12
60,SMC,6,0.0,12
61,SMC,7,0.5637355936468463,12
62,SMC,8,0.0,12
63,EC.Arterial,0,0.34064276763796675,34
64,EC.Arterial,1,0.0,34
65,EC.Arterial,2,0.0,34
66,EC.Arterial,3,0.0,34
67,EC.Arterial,4,0.0,34
68,EC.Arterial,5,0.0,34
69,EC.Arterial,6,0.0,34
70,EC.Arterial,7,0.0,34
71,EC.Arterial,8,0.0,34
72,B.Cell,0,0.0,47
73,B.Cell,1,0.0,47
74,B.Cell,2,0.0,47
75,B.Cell,3,0.0,47
76,B.Cell,4,0.0,47
77,B.Cell,5,0.0,47
78,B.Cell,6,0.0,47
79,B.Cell,7,0.47008926507983434,47
80,B.Cell,8,0.0,47
