,Cellstate,factor,value,cell_state_dendrogram
0,EP.AT2.1,0,0.0,0
1,EP.AT2.1,1,0.0,0
2,EP.AT2.1,2,0.0,0
3,EP.AT2.1,3,0.9424605012040099,0
4,EP.AT2.1,4,0.0,0
5,EP.AT2.1,5,0.0,0
6,EP.AT2.1,6,0.0,0
7,EP.Secretory,0,0.5740804689093065,37
8,EP.Secretory,1,0.0,37
9,EP.Secretory,2,0.0,37
10,EP.Secretory,3,0.0,37
11,EP.Secretory,4,0.0,37
12,EP.Secretory,5,0.0,37
13,EP.Secretory,6,0.0,37
14,EC.Aerocyte,0,0.0,15
15,EC.Aerocyte,1,0.0,15
16,EC.Aerocyte,2,0.0,15
17,EC.Aerocyte,3,0.5449972382854844,15
18,EC.Aerocyte,4,0.0,15
19,EC.Aerocyte,5,0.0,15
20,EC.Aerocyte,6,0.0,15
21,SMC,0,0.0,29
22,SMC,1,0.0,29
23,SMC,2,0.0,29
24,SMC,3,0.6887758645593746,29
25,SMC,4,0.0,29
26,SMC,5,0.0,29
27,SMC,6,0.0,29
28,B.Cell,0,0.0,32
29,B.Cell,1,0.0,32
30,B.Cell,2,0.0,32
31,B.Cell,3,0.6954230952470641,32
32,B.Cell,4,0.0,32
33,B.Cell,5,0.0,32
34,B.Cell,6,0.0,32
35,Monocyte.2,0,0.6833102044028474,4
36,Monocyte.2,1,0.0,4
37,Monocyte.2,2,0.0,4
38,Monocyte.2,3,0.0,4
39,Monocyte.2,4,0.0,4
40,Monocyte.2,5,0.0,4
41,Monocyte.2,6,0.0,4
42,Monocyte.1,0,0.0,41
43,Monocyte.1,1,0.0,41
44,Monocyte.1,2,0.0,41
45,Monocyte.1,3,0.0,41
46,Monocyte.1,4,0.0,41
47,Monocyte.1,5,0.0,41
48,Monocyte.1,6,0.5319740446959886,41
49,Th17,0,0.0,22
50,Th17,1,0.0,22
51,Th17,2,0.0,22
52,Th17,3,0.0,22
53,Th17,4,0.0,22
54,Th17,5,0.0,22
55,Th17,6,0.42613040375809913,22
56,Th2,0,0.0,20
57,Th2,1,0.0,20
58,Th2,2,0.0,20
59,Th2,3,0.0,20
60,Th2,4,0.0,20
61,Th2,5,0.0,20
62,Th2,6,0.4667968629971065,20
63,EC.Capillary.1,0,0.0,17
64,EC.Capillary.1,1,0.0,17
65,EC.Capillary.1,2,0.0,17
66,EC.Capillary.1,3,0.6901218157953302,17
67,EC.Capillary.1,4,0.0,17
68,EC.Capillary.1,5,0.0,17
69,EC.Capillary.1,6,0.0,17
70,EC.Capillary.2,0,0.0,3
71,EC.Capillary.2,1,0.6458598170996387,3
72,EC.Capillary.2,2,0.0,3
