,Cellstate,factor,value,cell_state_dendrogram
0,EP.AT1,0,0.0,5
1,EP.AT1,1,0.0,5
2,EP.AT1,2,0.0,5
3,EP.AT1,3,0.0,5
4,EP.AT1,4,0.0,5
5,EP.AT1,5,0.6240538739911091,5
6,EP.AT1,6,0.0,5
7,EP.AT1,7,0.0,5
8,EP.AT1,8,0.0,5
9,EP.AT1,9,0.0,5
10,EP.AT1,10,0.0,5
11,EP.AT2.1,0,0.0,29
12,EP.AT2.1,1,0.0,29
13,EP.AT2.1,2,0.0,29
14,EP.AT2.1,3,0.312892013775176,29
15,EP.AT2.1,4,0.0,29
16,EP.AT2.1,5,0.0,29
17,EP.AT2.1,6,0.0,29
18,EP.AT2.1,7,0.0,29
19,EP.AT2.1,8,0.0,29
20,EP.AT2.1,9,0.5941438175196037,29
21,EP.AT2.1,10,0.0,29
22,EP.AT2.2,0,0.0,13
23,EP.AT2.2,1,0.0,13
24,EP.AT2.2,2,0.0,13
25,EP.AT2.2,3,0.0,13
26,EP.AT2.2,4,0.0,13
27,EP.AT2.2,5,0.0,13
28,EP.AT2.2,6,0.0,13
29,EP.AT2.2,7,0.0,13
30,EP.AT2.2,8,0.38451118508405957,13
31,EP.AT2.2,9,0.0,13
32,EP.AT2.2,10,0.0,13
33,EP.Secretory.3,0,0.48151280999445567,56
34,EP.Secretory.3,1,0.0,56
35,EP.Secretory.3,2,0.0,56
36,EP.Secretory.3,3,0.0,56
37,EP.Secretory.3,4,0.0,56
38,EP.Secretory.3,5,0.0,56
39,EP.Secretory.3,6,0.0,56
40,EP.Secretory.3,7,0.0,56
41,EP.Secretory.3,8,0.0,56
42,EP.Secretory.3,9,0.0,56
43,EP.Secretory.3,10,0.0,56
44,EP.Secretory,0,0.3048244656179035,41
45,EP.Secretory,1,0.0,41
46,EP.Secretory,2,0.0,41
47,EP.Secretory,3,0.0,41
48,EP.Secretory,4,0.0,41
49,EP.Secretory,5,0.0,41
50,EP.Secretory,6,0.0,41
51,EP.Secretory,7,0.33667398223363176,41
52,EP.Secretory,8,0.0,41
53,EP.Secretory,9,0.0,41
54,EP.Secretory,10,0.0,41
55,EC.Aerocyte,0,0.0,23
56,EC.Aerocyte,1,0.0,23
57,EC.Aerocyte,2,0.0,23
58,EC.Aerocyte,3,0.0,23
59,EC.Aerocyte,4,0.0,23
60,EC.Aerocyte,5,0.25708603816579817,23
61,EC.Aerocyte,6,0.0,23
62,EC.Aerocyte,7,0.0,23
63,EC.Aerocyte,8,0.0,23
64,EC.Aerocyte,9,0.30379152513437924,23
65,EC.Aerocyte,10,0.0,23
66,SMC,0,0.0,34
67,SMC,1,0.0,34
68,SMC,2,0.0,34
69,SMC,3,0.0,34
70,SMC,4,0.0,34
71,SMC,5,0.0,34
72,SMC,6,0.0,34
73,SMC,7,0.0,34
74,SMC,8,0.0,34
75,SMC,9,0.6060796077540743,34
76,SMC,10,0.0,34
77,EC.Arterial,0,0.0,40
78,EC.Arterial,1,0.0,40
79,EC.Arterial,2,0.0,40
80,EC.Arterial,3,0.0,40
81,EC.Arterial,4,0.0,40
82,EC.Arterial,5,0.4153155125343228,40
83,EC.Arterial,6,0.0,40
84,EC.Arterial,7,0.0,40
85,EC.Arterial,8,0.0,40
86,EC.Arterial,9,0.0,40
87,EC.Arterial,10,0.0,40
88,B.Cell,0,0.0,8
89,B.Cell,1,0.0,8
90,B.Cell,2,0.0,8
91,B.Cell,3,0.0,8
92,B.Cell,4,0.0,8
93,B.Cell,5,0.0,8
94,B.Cell,6,0.0,8
95,B.Cell,7,0.0,8
96,B.Cell,8,0.0,8
97,B.Cell,9,0.5362879815016568,8
98,B.Cell,10,0.0,8
99,Monocyte.2,0,0.43219506965941246,44
100,Monocyte.2,1,0.0,44
101,Monocyte.2,2,0.0,44
102,Monocyte.2,3,0.0,44
103,Monocyte.2,4,0.0,44
104,Monocyte.2,5,0.0,44
105,Monocyte.2,6,0.0,44
106,Monocyte.2,7,0.0,44
107,Monocyte.2,8,0.0,44
108,Monocyte.2,9,0.0,44
109,Monocyte.2,10,0.0,44
110,Monocyte.1,0,0.0,50
111,Monocyte.1,1,0.0,50
112,Monocyte.1,2,0.0,50
113,Monocyte.1,3,0.0,50
114,Monocyte.1,4,0.0,50
115,Monocyte.1,5,0.8199150264653441,50
116,Monocyte.1,6,0.0,50
117,Monocyte.1,7,0.0,50
118,Monocyte.1,8,0.0,50
119,Monocyte.1,9,0.0,50
120,Monocyte.1,10,0.0,50
121,Th17,0,0.3796723457297794,6
122,Th17,1,0.0,6
123,Th17,2,0.0,6
124,Th17,3,0.0,6
125,Th17,4,0.0,6
126,Th17,5,0.0,6
127,Th17,6,0.0,6
128,Th17,7,0.0,6
129,Th17,8,0.0,6
130,Th17,9,0.0,6
131,Th17,10,0.0,6
132,Th2,0,0.3029608595400647,53
133,Th2,1,0.0,53
134,Th2,2,0.0,53
135,Th2,3,0.0,53
136,Th2,4,0.0,53
137,Th2,5,0.0,53
138,Th2,6,0.0,53
139,Th2,7,0.0,53
140,Th2,8,0.0,53
141,Th2,9,0.0,53
142,Th2,10,0.0,53
143,EC.Capillary.1,0,0.0,30
144,EC.Capillary.1,1,0.0,30
145,EC.Capillary.1,2,0.0,30
146,EC.Capillary.1,3,0.0,30
147,EC.Capillary.1,4,0.0,30
148,EC.Capillary.1,5,0.0,30
149,EC.Capillary.1,6,0.0,30
150,EC.Capillary.1,7,0.0,30
151,EC.Capillary.1,8,0.0,30
152,EC.Capillary.1,9,0.46028144069792576,30
153,EC.Capillary.1,10,0.0,30
154,EC.Capillary.2,0,0.0,42
155,EC.Capillary.2,1,0.0,42
156,EC.Capillary.2,2,0.0,42
157,EC.Capillary.2,3,0.0,42
158,EC.Capillary.2,4,0.3267510553087157,42
159,EC.Capillary.2,5,0.3187640327951787,42
160,EC.Capillary.2,6,0.0,42
161,EC.Capillary.2,7,0.0,42
162,EC.Capillary.2,8,0.0,42
163,EC.Capillary.2,9,0.0,42
164,EC.Capillary.2,10,0.32528820698874644,42
165,EC.Capillary.3,0,0.0,57
166,EC.Capillary.3,1,0.0,57
167,EC.Capillary.3,2,0.0,57
168,EC.Capillary.3,3,0.0,57
169,EC.Capillary.3,4,0.0,57
170,EC.Capillary.3,5,0.0,57
171,EC.Capillary.3,6,0.0,57
172,EC.Capillary.3,7,0.0,57
173,EC.Capillary.3,8,0.0,57
174,EC.Capillary.3,9,0.0,57
175,EC.Capillary.3,10,0.4939865889705905,57
176,Neutrophil.2,0,0.0,19
177,Neutrophil.2,1,0.0,19
178,Neutrophil.2,2,0.0,19
179,Neutrophil.2,3,0.0,19
180,Neutrophil.2,4,0.0,19
181,Neutrophil.2,5,0.6197514140543825,19
182,Neutrophil.2,6,0.0,19
183,Neutrophil.2,7,0.0,19
184,Neutrophil.2,8,0.0,19
185,Neutrophil.2,9,0.0,19
186,Neutrophil.2,10,0.0,19
187,M2.4,0,0.0,25
188,M2.4,1,0.0,25
189,M2.4,2,0.0,25
190,M2.4,3,0.0,25
191,M2.4,4,0.0,25
192,M2.4,5,0.489082514550097,25
193,M2.4,6,0.0,25
194,M2.4,7,0.0,25
195,M2.4,8,0.0,25
196,M2.4,9,0.0,25
197,M2.4,10,0.0,25
198,pDC.1,0,0.4879084628270339,1
199,pDC.1,1,0.0,1
200,pDC.1,2,0.0,1
201,pDC.1,3,0.0,1
202,pDC.1,4,0.0,1
203,pDC.1,5,0.0,1
204,pDC.1,6,0.0,1
205,pDC.1,7,0.0,1
206,pDC.1,8,0.0,1
207,pDC.1,9,0.0,1
208,pDC.1,10,0.0,1
209,EP.Ciliated,0,0.0,45
210,EP.Ciliated,1,0.0,45
211,EP.Ciliated,2,0.0,45
212,EP.Ciliated,3,0.0,45
213,EP.Ciliated,4,0.0,45
214,EP.Ciliated,5,0.0,45
215,EP.Ciliated,6,0.0,45
216,EP.Ciliated,7,0.0,45
217,EP.Ciliated,8,0.0,45
218,EP.Ciliated,9,0.25870541493343185,45
219,EP.Ciliated,10,0.0,45
220,cDC,0,0.40262850008307227,31
221,cDC,1,0.0,31
222,cDC,2,0.0,31
223,cDC,3,0.0,31
224,cDC,4,0.0,31
225,cDC,5,0.0,31
226,cDC,6,0.0,31
227,cDC,7,0.0,31
228,cDC,8,0.0,31
229,cDC,9,0.0,31
230,cDC,10,0.0,31
231,CTL.2,0,0.0,51
232,CTL.2,1,0.0,51
233,CTL.2,2,0.0,51
234,CTL.2,3,0.0,51
235,CTL.2,4,0.0,51
236,CTL.2,5,0.0,51
237,CTL.2,6,0.32631258136860986,51
238,CTL.2,7,0.0,51
239,CTL.2,8,0.0,51
240,CTL.2,9,0.0,51
241,CTL.2,10,0.338915784606639,51
242,CTL.1,0,0.0,20
243,CTL.1,1,0.0,20
244,CTL.1,2,0.0,20
245,CTL.1,3,0.0,20
246,CTL.1,4,0.0,20
247,CTL.1,5,0.0,20
248,CTL.1,6,0.30189923380156325,20
249,CTL.1,7,0.0,20
250,CTL.1,8,0.0,20
251,CTL.1,9,0.0,20
252,CTL.1,10,0.28994982088477483,20
253,M2.3,0,0.0,33
254,M2.3,1,0.0,33
255,M2.3,2,0.0,33
256,M2.3,3,0.0,33
257,M2.3,4,0.0,33
258,M2.3,5,0.0,33
259,M2.3,6,0.0,33
260,M2.3,7,0.0,33
261,M2.3,8,0.0,33
262,M2.3,9,0.7205706623099932,33
263,M2.3,10,0.0,33
264,Effector.CD8.1,0,0.2717625827236863,3
265,Effector.CD8.1,1,0.0,3
266,Effector.CD8.1,2,0.0,3
267,Effector.CD8.1,3,0.0,3
268,Effector.CD8.1,4,0.0,3
269,Effector.CD8.1,5,0.3437539035315513,3
270,Effector.CD8.1,6,0.0,3
271,Effector.CD8.1,7,0.0,3
272,Effector.CD8.1,8,0.0,3
273,Effector.CD8.1,9,0.0,3
274,Effector.CD8.1,10,0.0,3
275,EP.Transitional,0,0.0,18
276,EP.Transitional,1,0.0,18
277,EP.Transitional,2,0.0,18
278,EP.Transitional,3,0.0,18
279,EP.Transitional,4,0.0,18
280,EP.Transitional,5,0.0,18
281,EP.Transitional,6,0.0,18
282,EP.Transitional,7,0.0,18
283,EP.Transitional,8,0.0,18
284,EP.Transitional,9,0.7316757771778178,18
285,EP.Transitional,10,0.0,18
286,FB.Immune.2,0,0.0,38
287,FB.Immune.2,1,0.0,38
288,FB.Immune.2,2,0.0,38
289,FB.Immune.2,3,0.0,38
290,FB.Immune.2,4,0.0,38
291,FB.Immune.2,5,0.36882825748000675,38
292,FB.Immune.2,6,0.0,38
293,FB.Immune.2,7,0.0,38
294,FB.Immune.2,8,0.0,38
295,FB.Immune.2,9,0.0,38
296,FB.Immune.2,10,0.0,38
297,FB.Immune.1,0,0.0,9
298,FB.Immune.1,1,0.0,9
299,FB.Immune.1,2,0.0,9
300,FB.Immune.1,3,0.0,9
301,FB.Immune.1,4,0.5050972383492359,9
302,FB.Immune.1,5,0.3163823284002649,9
303,FB.Immune.1,6,0.0,9
304,FB.Immune.1,7,0.0,9
305,FB.Immune.1,8,0.0,9
306,FB.Immune.1,9,0.0,9
307,FB.Immune.1,10,0.0,9
308,FB.Lipofibroblast,0,0.0,11
309,FB.Lipofibroblast,1,0.0,11
310,FB.Lipofibroblast,2,0.5204269578730336,11
311,FB.Lipofibroblast,3,0.0,11
312,FB.Lipofibroblast,4,0.0,11
313,FB.Lipofibroblast,5,0.0,11
314,FB.Lipofibroblast,6,0.0,11
315,FB.Lipofibroblast,7,0.0,11
316,FB.Lipofibroblast,8,0.0,11
317,FB.Lipofibroblast,9,0.0,11
318,FB.Lipofibroblast,10,0.0,11
319,FB.Adventitial,0,0.2819339041816892,12
320,FB.Adventitial,1,0.0,12
321,FB.Adventitial,2,0.0,12
322,FB.Adventitial,3,0.0,12
323,FB.Adventitial,4,0.0,12
324,FB.Adventitial,5,0.0,12
325,FB.Adventitial,6,0.0,12
326,FB.Adventitial,7,0.0,12
327,FB.Adventitial,8,0.0,12
328,FB.Adventitial,9,0.4188324879507232,12
329,FB.Adventitial,10,0.0,12
330,FB.Alveolar,0,0.0,43
331,FB.Alveolar,1,0.0,43
332,FB.Alveolar,2,0.0,43
333,FB.Alveolar,3,0.0,43
334,FB.Alveolar,4,0.0,43
335,FB.Alveolar,5,0.0,43
336,FB.Alveolar,6,0.0,43
337,FB.Alveolar,7,0.0,43
338,FB.Alveolar,8,0.0,43
339,FB.Alveolar,9,0.8250009286291291,43
340,FB.Alveolar,10,0.0,43
341,FB.Pathological.1,0,0.0,4
342,FB.Pathological.1,1,0.46772717442601064,4
343,FB.Pathological.1,2,0.0,4
344,FB.Pathological.1,3,0.0,4
345,FB.Pathological.1,4,0.0,4
346,FB.Pathological.1,5,0.0,4
347,FB.Pathological.1,6,0.0,4
348,FB.Pathological.1,7,0.0,4
349,FB.Pathological.1,8,0.0,4
350,FB.Pathological.1,9,0.34206632034534434,4
351,FB.Pathological.1,10,0.0,4
352,FB.Pathological.2,0,0.0,52
353,FB.Pathological.2,1,0.0,52
354,FB.Pathological.2,2,0.780336910402967,52
355,FB.Pathological.2,3,0.0,52
356,FB.Pathological.2,4,0.0,52
357,FB.Pathological.2,5,0.0,52
358,FB.Pathological.2,6,0.0,52
359,FB.Pathological.2,7,0.0,52
