x,node,cell_states,next_x,next_node
PRES,5,NA,EDAD,5
PRES,3,NA,EDAD,1
PRES,6,NA,EDAD,1
PRES,4,NA,EDAD,2
PRES,4,NA,EDAD,6
PRES,7,NA,EDAD,4
PRES,0,NA,EDAD,0
PRES,3,NA,EDAD,7
PRES,7,NA,EDAD,7
PRES,6,NA,EDAD,0
PRES,0,NA,EDAD,7
PRES,5,NA,EDAD,2
PRES,5,NA,EDAD,5
PRES,3,NA,EDAD,7
PRES,5,NA,EDAD,5
PRES,2,NA,EDAD,8
PRES,1,NA,EDAD,2
PRES,1,NA,EDAD,5
PRES,1,NA,EDAD,5
PRES,5,NA,EDAD,5
PRES,1,NA,EDAD,4
PRES,6,NA,EDAD,3
PRES,6,NA,EDAD,7
PRES,3,NA,EDAD,3
PRES,3,NA,EDAD,7
PRES,6,NA,EDAD,3
PRES,6,NA,EDAD,7
PRES,5,NA,EDAD,5
PRES,6,NA,EDAD,7
PRES,3,NA,EDAD,7
PRES,3,NA,EDAD,7
PRES,2,NA,EDAD,8
PRES,4,NA,EDAD,2
PRES,5,NA,EDAD,5
PRES,0,NA,EDAD,0
PRES,0,NA,EDAD,0
PRES,6,NA,EDAD,7
PRES,6,NA,EDAD,7
PRES,4,NA,EDAD,8
PRES,4,NA,EDAD,8
PRES,5,NA,EDAD,5
PRES,4,NA,EDAD,6
PRES,3,NA,EDAD,1
PRES,6,NA,EDAD,1
PRES,0,NA,EDAD,0
PRES,6,NA,EDAD,0
PRES,6,NA,EDAD,6
PRES,0,NA,EDAD,0
PRES,3,NA,EDAD,7
EDAD,1,NA,MDAD,3
EDAD,0,NA,MDAD,0
EDAD,7,NA,MDAD,3
EDAD,7,NA,MDAD,3
EDAD,7,NA,MDAD,3
EDAD,0,NA,MDAD,0
EDAD,2,NA,MDAD,6
EDAD,5,NA,MDAD,6
EDAD,0,NA,MDAD,6
EDAD,7,NA,MDAD,3
EDAD,5,NA,MDAD,1
EDAD,2,NA,MDAD,6
EDAD,5,NA,MDAD,6
EDAD,5,NA,MDAD,1
EDAD,0,NA,MDAD,6
EDAD,8,NA,MDAD,5
EDAD,3,NA,MDAD,3
EDAD,7,NA,MDAD,3
EDAD,3,NA,MDAD,3
EDAD,7,NA,MDAD,3
EDAD,5,NA,MDAD,1
EDAD,8,NA,MDAD,5
EDAD,7,NA,MDAD,3
